Sample,Time_interval,amend,mgmt,moisture,field_reps,All,Time.Amend.Mgmt,Amend.Mgmt,Amend.Moist,Mgmt.Moist,Time.Mgmt,Time.Moist,NH4,NO3,nrfA
NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,.,.,.
B_BM.R1,baseline,before.BM,BM,0,1,baseline.before.BM.BM.0,baseline.before.BM.BM,before.BM.BM,before.BM.0,BM.0,baseline.BM,baseline.0,.,.,.
B_BM.R2,baseline,before.BM,BM,0,2,baseline.before.BM.BM.0,baseline.before.BM.BM,before.BM.BM,before.BM.0,BM.0,baseline.BM,baseline.0,.,.,.
B_BM.R3,baseline,before.BM,BM,0,3,baseline.before.BM.BM.0,baseline.before.BM.BM,before.BM.BM,before.BM.0,BM.0,baseline.BM,baseline.0,.,.,.
B_BM.R4,baseline,before.BM,BM,0,4,baseline.before.BM.BM.0,baseline.before.BM.BM,before.BM.BM,before.BM.0,BM.0,baseline.BM,baseline.0,.,.,.
B_FERT.R1,baseline,before.FT,FERT,0,1,baseline.before.FT.FERT.0,baseline.before.FT.FERT,before.FT.FERT,before.FT.0,FERT.0,baseline.FERT,baseline.0,.,.,.
B_FERT.R2,baseline,before.FT,FERT,0,2,baseline.before.FT.FERT.0,baseline.before.FT.FERT,before.FT.FERT,before.FT.0,FERT.0,baseline.FERT,baseline.0,.,.,.
B_FERT.R3,baseline,before.FT,FERT,0,3,baseline.before.FT.FERT.0,baseline.before.FT.FERT,before.FT.FERT,before.FT.0,FERT.0,baseline.FERT,baseline.0,.,.,.
B_FERT.R4,baseline,before.FT,FERT,0,4,baseline.before.FT.FERT.0,baseline.before.FT.FERT,before.FT.FERT,before.FT.0,FERT.0,baseline.FERT,baseline.0,.,.,.
Raw_R1,baseline,Raw,Raw,0,1,baseline.Raw.Raw.0,baseline.Raw.Raw,Raw.Raw,Raw.0,Raw.0,baseline.Raw,baseline.0,.,.,.
Raw_R2,baseline,Raw,Raw,0,2,baseline.Raw.Raw.0,baseline.Raw.Raw,Raw.Raw,Raw.0,Raw.0,baseline.Raw,baseline.0,.,.,.
Raw_R3,baseline,Raw,Raw,0,3,baseline.Raw.Raw.0,baseline.Raw.Raw,Raw.Raw,Raw.0,Raw.0,baseline.Raw,baseline.0,.,.,.
Dig_R1,baseline,Dig,Dig,0,1,baseline.Dig.Dig.0,baseline.Dig.Dig,Dig.Dig,Dig.0,Dig.0,baseline.Dig,baseline.0,.,.,.
Dig_R2,baseline,Dig,Dig,0,2,baseline.Dig.Dig.0,baseline.Dig.Dig,Dig.Dig,Dig.0,Dig.0,baseline.Dig,baseline.0,.,.,.
Dig_R3,baseline,Dig,Dig,0,3,baseline.Dig.Dig.0,baseline.Dig.Dig,Dig.Dig,Dig.0,Dig.0,baseline.Dig,baseline.0,.,.,.
